"","wals code","name","value","description","latitude","longitude","genus","family","area"
"1","amp","Arrernte (Mparntwe)",1,"None",-24,136,"Central Pama-Nyungan","Pama-Nyungan","Phonology"
"2","byu","Bandjalang (Yugumbir)",1,"None",-27.9166666667,153,"Southeastern Pama-Nyungan","Pama-Nyungan","Phonology"
"3","diy","Diyari",1,"None",-28,139,"Central Pama-Nyungan","Pama-Nyungan","Phonology"
"4","djp","Djapu",1,"None",-12.6666666667,136,"Western Pama-Nyungan","Pama-Nyungan","Phonology"
"5","dyi","Dyirbal",1,"None",-17.8333333333,145.583333333,"Northern Pama-Nyungan","Pama-Nyungan","Phonology"
"6","kly","Kala Lagaw Ya",1,"None",-10.1166666667,142.116666667,"Northern Pama-Nyungan","Pama-Nyungan","Phonology"
"7","kgu","Kalkatungu",1,"None",-21,139.5,"Northern Pama-Nyungan","Pama-Nyungan","Phonology"
"8","kya","Kuku-Yalanji",1,"None",-16,145,"Northern Pama-Nyungan","Pama-Nyungan","Phonology"
"9","mrt","Martuthunira",1,"None",-20.8333333333,116.5,"Western Pama-Nyungan","Pama-Nyungan","Phonology"
"10","mbb","Mbabaram",1,"None",-17.1666666667,145,"Northern Pama-Nyungan","Pama-Nyungan","Phonology"
"11","ngi","Ngiyambaa",5,"'Th' sounds",-31.75,145.5,"Southeastern Pama-Nyungan","Pama-Nyungan","Phonology"
"12","pit","Pitjantjatjara",1,"None",-26,130,"Western Pama-Nyungan","Pama-Nyungan","Phonology"
"13","wdo","Western Desert (Ooldea)",1,"None",-30.5,132,"Western Pama-Nyungan","Pama-Nyungan","Phonology"
"14","wmu","Wik Munkan",1,"None",-13.9166666667,141.75,"Northern Pama-Nyungan","Pama-Nyungan","Phonology"
"15","yny","Yanyuwa",1,"None",-16.4166666667,137.166666667,"Western Pama-Nyungan","Pama-Nyungan","Phonology"
"16","yid","Yidiny",1,"None",-17,145.75,"Northern Pama-Nyungan","Pama-Nyungan","Phonology"
